Skills,Interests,Academic_Score,Preferred_Work,Career
Debugging,Creativity,9.46,Research,ML Engineer
Testing,Innovation,7.74,Development,UI/UX Designer
Networking,Teamwork,7.53,Management,Product Manager
Coding,Detail-Oriented,9.88,Development,Software Engineer
AI,Detail-Oriented,9.46,Testing,Test Engineer
Analysis,Research,7.59,Management,Team Lead
Networking,Creativity,7.3,Testing,QA Engineer
Planning,Detail-Oriented,8.06,Research,Data Scientist
Design,Detail-Oriented,9.47,Research,AI Researcher
Networking,Innovation,6.31,Development,Software Engineer
Debugging,Teamwork,6.53,Management,Project Manager
Testing,Creativity,7.61,Management,Project Manager
Planning,Teamwork,9.24,Testing,QA Engineer
Design,Teamwork,6.0,Testing,Test Engineer
Design,Management,8.56,Research,ML Engineer
AI,Teamwork,9.61,Research,ML Engineer
Networking,Logic,9.8,Management,Project Manager
Planning,Innovation,6.37,Development,Web Developer
Leadership,Creativity,6.36,Development,Software Engineer
Networking,Creativity,8.37,Testing,Test Engineer
Planning,Teamwork,7.58,Research,ML Engineer
Networking,Management,9.08,Management,Product Manager
Networking,Management,6.89,Research,ML Engineer
Database,Teamwork,7.33,Development,Software Engineer
Networking,Teamwork,7.6,Management,Project Manager
AI,Problem Solving,9.41,Development,Web Developer
Debugging,Research,9.58,Research,AI Researcher
Analysis,Research,8.36,Management,Project Manager
Coding,Teamwork,9.74,Management,Product Manager
Debugging,Problem Solving,9.25,Testing,QA Engineer
Database,Logic,9.62,Testing,Test Engineer
Leadership,Detail-Oriented,9.54,Development,Web Developer
Planning,Research,8.74,Testing,QA Engineer
AI,Innovation,6.08,Testing,QA Engineer
Database,Creativity,9.53,Development,Web Developer
Coding,Teamwork,7.08,Research,Data Scientist
Design,Teamwork,9.12,Testing,QA Engineer
Testing,Teamwork,8.06,Testing,Test Engineer
Planning,Management,9.44,Development,Software Engineer
AI,Logic,8.66,Development,Web Developer
Testing,Detail-Oriented,7.46,Research,ML Engineer
Testing,Research,6.39,Development,Software Engineer
Design,Innovation,6.62,Testing,QA Engineer
Networking,Research,7.81,Management,Product Manager
Analysis,Detail-Oriented,6.38,Development,Web Developer
Testing,Problem Solving,8.97,Management,Product Manager
Leadership,Logic,9.09,Development,UI/UX Designer
Analysis,Research,9.36,Management,Product Manager
Planning,Logic,9.56,Development,Software Engineer
Networking,Research,8.16,Research,AI Researcher
Design,Research,9.31,Development,Software Engineer
